Track 0: r_c =3, RMSE: 4.79, r_c=10 RMSE: 4.60
Track 1: r_c =3, RMSE: 1.25, r_c=10 RMSE: 1.25
Track 2: r_c =3, RMSE: 52.73, r_c=10 RMSE: 51.98
Track 3: r_c =3, RMSE: 1.64, r_c=10 RMSE: 2.86
Track 4: r_c =3, RMSE: 2.39, r_c=10 RMSE: 48.43
Track 5: r_c =3, RMSE: 10.08, r_c=10 RMSE: 10.35
Track 6: r_c =3, RMSE: 21.23, r_c=10 RMSE: 23.48
Track 7: r_c =3, RMSE: 7.02, r_c=10 RMSE: 7.02
Track 8: r_c =3, RMSE: 37.46, r_c=10 RMSE: 44.31
Track 9: r_c =3, RMSE: 70.29, r_c=10 RMSE: 68.97
Track 10: r_c =3, RMSE: 15.40, r_c=10 RMSE: 15.92
Track 11: r_c =3, RMSE: 6.12, r_c=10 RMSE: 6.12
Track 12: r_c =3, RMSE: 10.09, r_c=10 RMSE: 9.09
Track 13: r_c =3, RMSE: 13.17, r_c=10 RMSE: 66.97
Track 14: r_c =3, RMSE: 15.19, r_c=10 RMSE: 15.77
Track 15: r_c =3, RMSE: 19.67, r_c=10 RMSE: 63.26
Track 16: r_c =3, RMSE: 3.51, r_c=10 RMSE: 2.73
Track 17: r_c =3, RMSE: 4.54, r_c=10 RMSE: 10.43
Track 18: r_c =3, RMSE: 4.10, r_c=10 RMSE: 3.83
Track 19: r_c =3, RMSE: 5.94, r_c=10 RMSE: 6.90
