Track 0: r_c =3, RMSE: 4.79, r_c=10 RMSE: 4.60
Track 2: r_c =3, RMSE: 52.73, r_c=10 RMSE: 52.77
Track 3: r_c =3, RMSE: 1.64, r_c=10 RMSE: 2.86
Track 4: r_c =3, RMSE: 2.39, r_c=10 RMSE: 3.48
Track 5: r_c =3, RMSE: 10.08, r_c=10 RMSE: 10.35
Track 6: r_c =3, RMSE: 21.23, r_c=10 RMSE: 53.51
Track 7: r_c =3, RMSE: 7.09, r_c=10 RMSE: 9.09
Track 8: r_c =3, RMSE: 37.46, r_c=10 RMSE: 73.14
Track 9: r_c =3, RMSE: 70.29, r_c=10 RMSE: 12.01
Track 10: r_c =3, RMSE: 15.40, r_c=10 RMSE: 15.92
Track 11: r_c =3, RMSE: 6.12, r_c=10 RMSE: 5.61
Track 12: r_c =3, RMSE: 10.85, r_c=10 RMSE: 11.22
Track 13: r_c =3, RMSE: 13.17, r_c=10 RMSE: 3.83
Track 14: r_c =3, RMSE: 15.19, r_c=10 RMSE: 45.53
Track 15: r_c =3, RMSE: 19.67, r_c=10 RMSE: 64.84
Track 16: r_c =3, RMSE: 3.51, r_c=10 RMSE: 2.81
Track 17: r_c =3, RMSE: 3.48, r_c=10 RMSE: 2.19
Track 18: r_c =3, RMSE: 4.10, r_c=10 RMSE: 3.89
Track 19: r_c =3, RMSE: 5.94, r_c=10 RMSE: 5.23
Track 20: r_c =3, RMSE: 15.63, r_c=10 RMSE: 3.57
Track 22: r_c =3, RMSE: 11.52, r_c=10 RMSE: 10.83
Track 23: r_c =3, RMSE: 6.89, r_c=10 RMSE: 11.60
Track 24: r_c =3, RMSE: 20.46, r_c=10 RMSE: 21.36
Track 25: r_c =3, RMSE: 1.69, r_c=10 RMSE: 63.64
Track 26: r_c =3, RMSE: 31.21, r_c=10 RMSE: 5.30
Track 27: r_c =3, RMSE: 8.32, r_c=10 RMSE: 54.70
Track 28: r_c =3, RMSE: 19.58, r_c=10 RMSE: 19.61
Track 29: r_c =3, RMSE: 4.69, r_c=10 RMSE: 4.80
Track 30: r_c =3, RMSE: 4.40, r_c=10 RMSE: 2.40
Track 31: r_c =3, RMSE: 6.02, r_c=10 RMSE: 5.28
Track 32: r_c =3, RMSE: 3.43, r_c=10 RMSE: 3.91
Track 33: r_c =3, RMSE: 32.62, r_c=10 RMSE: 33.92
Track 35: r_c =3, RMSE: 5.88, r_c=10 RMSE: 4.55
Track 37: r_c =3, RMSE: 10.83, r_c=10 RMSE: 9.30
Track 38: r_c =3, RMSE: 5.13, r_c=10 RMSE: 3.71
Track 39: r_c =3, RMSE: 5.87, r_c=10 RMSE: 3.98
Track 40: r_c =3, RMSE: 7.11, r_c=10 RMSE: 8.87
Track 42: r_c =3, RMSE: 10.30, r_c=10 RMSE: 21.48
Track 43: r_c =3, RMSE: 13.76, r_c=10 RMSE: 15.48
Track 44: r_c =3, RMSE: 4.67, r_c=10 RMSE: 3.56
Track 45: r_c =3, RMSE: 3.33, r_c=10 RMSE: 3.24
Track 47: r_c =3, RMSE: 34.96, r_c=10 RMSE: 35.51
Track 49: r_c =3, RMSE: 7.60, r_c=10 RMSE: 7.26
Track 50: r_c =3, RMSE: 2.46, r_c=10 RMSE: 1.88
Track 51: r_c =3, RMSE: 10.94, r_c=10 RMSE: 8.90
Track 52: r_c =3, RMSE: 3.02, r_c=10 RMSE: 10.92
Track 53: r_c =3, RMSE: 2.37, r_c=10 RMSE: 3.00
Track 54: r_c =3, RMSE: 6.88, r_c=10 RMSE: 2.40
Track 57: r_c =3, RMSE: 7.43, r_c=10 RMSE: 8.74
Track 58: r_c =3, RMSE: 6.09, r_c=10 RMSE: 8.34
Track 59: r_c =3, RMSE: 8.83, r_c=10 RMSE: 8.53
Track 61: r_c =3, RMSE: 8.73, r_c=10 RMSE: 19.72
Track 62: r_c =3, RMSE: 3.91, r_c=10 RMSE: 3.62
Track 63: r_c =3, RMSE: 3.26, r_c=10 RMSE: 4.11
Track 64: r_c =3, RMSE: 3.36, r_c=10 RMSE: 5.60
Track 65: r_c =3, RMSE: 15.61, r_c=10 RMSE: 14.61
Track 66: r_c =3, RMSE: 5.03, r_c=10 RMSE: 37.32
Track 67: r_c =3, RMSE: 2.45, r_c=10 RMSE: 3.93
Track 71: r_c =3, RMSE: 3.69, r_c=10 RMSE: 2.44
Track 72: r_c =3, RMSE: 3.30, r_c=10 RMSE: 3.45
Track 73: r_c =3, RMSE: 17.80, r_c=10 RMSE: 18.84
Track 74: r_c =3, RMSE: 4.28, r_c=10 RMSE: 4.21
Track 75: r_c =3, RMSE: 5.68, r_c=10 RMSE: 47.79
Track 76: r_c =3, RMSE: 58.42, r_c=10 RMSE: 66.28
Track 78: r_c =3, RMSE: 0.84, r_c=10 RMSE: 1.01
Track 81: r_c =3, RMSE: 2.32, r_c=10 RMSE: 2.06
Track 82: r_c =3, RMSE: 38.53, r_c=10 RMSE: 40.52
Track 83: r_c =3, RMSE: 24.84, r_c=10 RMSE: 23.69
Track 84: r_c =3, RMSE: 26.90, r_c=10 RMSE: 27.89
Track 86: r_c =3, RMSE: 2.39, r_c=10 RMSE: 2.66
Track 87: r_c =3, RMSE: 3.61, r_c=10 RMSE: 3.48
Track 88: r_c =3, RMSE: 4.26, r_c=10 RMSE: 2.99
Track 89: r_c =3, RMSE: 7.40, r_c=10 RMSE: 6.76
Track 90: r_c =3, RMSE: 1.64, r_c=10 RMSE: 1.20
Track 91: r_c =3, RMSE: 4.90, r_c=10 RMSE: 4.06
Track 92: r_c =3, RMSE: 10.19, r_c=10 RMSE: 7.17
Track 93: r_c =3, RMSE: 5.31, r_c=10 RMSE: 4.93
Track 94: r_c =3, RMSE: 10.11, r_c=10 RMSE: 8.57
Track 95: r_c =3, RMSE: 40.48, r_c=10 RMSE: 11.12
Track 96: r_c =3, RMSE: 7.09, r_c=10 RMSE: 6.71
Track 97: r_c =3, RMSE: 3.20, r_c=10 RMSE: 2.94
Track 98: r_c =3, RMSE: 63.27, r_c=10 RMSE: 49.61
Track 99: r_c =3, RMSE: 0.70, r_c=10 RMSE: 1.62
Track 100: r_c =3, RMSE: 3.79, r_c=10 RMSE: 4.20
Track 101: r_c =3, RMSE: 2.79, r_c=10 RMSE: 1.86
Track 102: r_c =3, RMSE: 39.07, r_c=10 RMSE: 21.78
Track 103: r_c =3, RMSE: 37.97, r_c=10 RMSE: 50.56
Track 104: r_c =3, RMSE: 2.98, r_c=10 RMSE: 2.21
Track 105: r_c =3, RMSE: 16.10, r_c=10 RMSE: 19.25
Track 106: r_c =3, RMSE: 41.48, r_c=10 RMSE: 41.73
Track 107: r_c =3, RMSE: 13.01, r_c=10 RMSE: 12.74
Track 108: r_c =3, RMSE: 3.55, r_c=10 RMSE: 3.03
Track 110: r_c =3, RMSE: 3.30, r_c=10 RMSE: 3.51
Track 111: r_c =3, RMSE: 4.41, r_c=10 RMSE: 4.42
Track 112: r_c =3, RMSE: 2.39, r_c=10 RMSE: 2.93
Track 114: r_c =3, RMSE: 24.12, r_c=10 RMSE: 32.70
Track 115: r_c =3, RMSE: 8.69, r_c=10 RMSE: 7.03
Track 117: r_c =3, RMSE: 32.46, r_c=10 RMSE: 19.25
Track 119: r_c =3, RMSE: 9.87, r_c=10 RMSE: 5.50
Track 120: r_c =3, RMSE: 3.19, r_c=10 RMSE: 3.35
Track 121: r_c =3, RMSE: 18.83, r_c=10 RMSE: 4.97
Track 123: r_c =3, RMSE: 11.05, r_c=10 RMSE: 48.99
Track 124: r_c =3, RMSE: 4.62, r_c=10 RMSE: 4.94
Track 125: r_c =3, RMSE: 11.39, r_c=10 RMSE: 12.28
Track 126: r_c =3, RMSE: 6.96, r_c=10 RMSE: 6.01
Track 127: r_c =3, RMSE: 2.35, r_c=10 RMSE: 2.82
Track 128: r_c =3, RMSE: 5.43, r_c=10 RMSE: 5.94
Track 129: r_c =3, RMSE: 7.42, r_c=10 RMSE: 5.80
Track 130: r_c =3, RMSE: 1.05, r_c=10 RMSE: 6.19
Track 131: r_c =3, RMSE: 1.82, r_c=10 RMSE: 1.94
Track 132: r_c =3, RMSE: 24.54, r_c=10 RMSE: 24.86
Track 134: r_c =3, RMSE: 8.76, r_c=10 RMSE: 9.59
Track 137: r_c =3, RMSE: 20.29, r_c=10 RMSE: 21.31
